,Function,Taylor Expression
2256,0.5*x,0.5*x
2257,0.25*x**3*exp(x),0.25*x**3*(x + 1)
2258,-3*x,-3*x
2259,0.5*x**2 - 2*exp(x),-x**4/12 - x**3/3 - 0.5*x**2 - 2*x - 2
2260,9*sin(x)*cos(x),-6*x**3 + 9*x
2261,1.0*x**4*exp(2*x),1.0*x**4
2262,cos(0.5*x**3 + sin(x)),-0.291666666666667*x**4 - x**2/2 + 1
2263,log(cos(x)**2 + 1),x**4/24 - x**2/2 + log(2)
2264,exp(1.0*sqrt(x**2 + 1)*log(x + 1)),0.25*x**4 + 0.5*x**3 + 1.0*x + 1
2265,cos(3*x),27*x**4/8 - 9*x**2/2 + 1
2266,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
2267,sin(2*log(x + 1)**2),x**2*(11*x**2 - 12*x + 12)/6
2268,-3*x**2 + x,x*(1 - 3*x)
2269,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
2270,4*x**6 + 8*x**3*cos(x) + 4*cos(x)**2,4*x**4/3 + 8*x**3 - 4*x**2 + 4
2271,1.5*exp(x),0.0625*x**4 + 0.25*x**3 + 0.75*x**2 + 1.5*x + 1.5
2272,sin(0.5*log(x + 1) - 0.5*sin(x)),x**2*(-0.125*x**2 + 0.25*x - 0.25)
2273,cos(2*x**3 + 2*x**2),1 - 2*x**4
2274,log(9*x**6 + 12*x**5 + 4*x**4 + 1),4*x**4
2275,-2*sin(x),x*(x**2 - 6)/3
2276,log(9*x**4 - 18*x**2*log(x + 1) + 9*log(x + 1)**2 + 1),x**2*(-57*x**2/4 - 27*x + 9)
2277,9*x**4*exp(2*x),9*x**4
2278,3*x,3*x
2279,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
2280,-9*log(x + 1)*cos(x),3*x*(x**2 + 3*x - 6)/2
2281,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
2282,log(4*x**2 + 12*sqrt(x**2 + 1)*log(x + 1) + 9*log(x + 1)**2 + 5),-3101*x**4/2500 + 181*x**3/125 - 37*x**2/25 + 12*x/5 + log(5)
2283,-sin(x),x**3/6 - x
2284,log(0.25*log(x + 1)**2 + 1),x**2*(0.197916666666667*x**2 - 0.25*x + 0.25)
2285,cos(0.5*exp(x)*log(x + 1)),-0.111979166666667*x**4 - 0.125*x**3 - 0.125*x**2 + 1
2286,0.5*x**3,0.5*x**3
2287,log(25*log(x + 1)**2 + 1),x**2*(-3475*x**2/12 - 25*x + 25)
2288,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
2289,cos(3.5*sin(x)),8.29427083333333*x**4 - 6.125*x**2 + 1
2290,-x**2,-x**2
2291,-cos(x),-x**4/24 + x**2/2 - 1
2292,-sin(2*x**3*sin(x)),-2*x**4
2293,2*sin(x),x*(6 - x**2)/3
2294,0.25*x**4 + 3.0*x**2*sin(x) + 9*sin(x)**2,x**2*(-2.75*x**2 + 3.0*x + 9)
2295,sin(3*x*sin(x)),x**2*(6 - x**2)/2
2296,2*x**3*sqrt(x**2 + 1),2*x**3
2297,-0.5*x**3 - 0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.5*x**3 - 0.25*x**2 - 0.5
2298,-3*x**3 - 3*x,3*x*(-x**2 - 1)
2299,sin(9*x**2),9*x**2
2300,-0.5*sqrt(x**2 + 1)*log(x + 1),x*(0.25*x**3 - 0.416666666666667*x**2 + 0.25*x - 0.5)
2301,-sin(x**2 - 2*sin(x)),x*(6*x**3 - 5*x**2 - 3*x + 6)/3
2302,sqrt(x**2 + 1)*cos(x),1 - x**4/3
2303,x**3,x**3
2304,0.5*x**3 - 0.5*sqrt(x**2 + 1),0.0625*x**4 + 0.5*x**3 - 0.25*x**2 - 0.5
2305,-x**2,-x**2
2306,x**2,x**2
2307,-1.0*log(x + 1)*sin(x),x**2*(-0.166666666666667*x**2 + 0.5*x - 1.0)
2308,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2309,-1.0*x**2*log(x + 1),x**3*(0.5*x - 1.0)
2310,sin(2*cos(x)),x**4*(-6*sin(2) + cos(2))/12 - x**2*cos(2) + sin(2)
2311,exp(exp(x)*cos(x)),E*(-11*x**4 - 4*x**3 + 12*x**2 + 24*x + 24)/24
2312,0.5*x - 0.5*sin(x),0.0833333333333333*x**3
2313,-0.5*x - 2*sqrt(x**2 + 1),x**4/4 - x**2 - 0.5*x - 2
2314,3*exp(x) - 3*log(x + 1),7*x**4/8 - x**3/2 + 3*x**2 + 3
2315,-2*sqrt(x**2 + 1) - 0.5*sin(x),x**4/4 + 0.0833333333333333*x**3 - x**2 - 0.5*x - 2
2316,exp(2*x) + 4*exp(x)*log(x + 1) + 4*log(x + 1)**2,13*x**4/3 - 4*x**3/3 + 8*x**2 + 6*x + 1
2317,0.5*x**3 - 0.5*log(x + 1),x*(0.125*x**3 + 0.333333333333333*x**2 + 0.25*x - 0.5)
2318,-x,-x
2319,cos(3*x**2*sqrt(x**2 + 1)),1 - 9*x**4/2
2320,-log(x + 1) - sin(x),x*(3*x**3 - 2*x**2 + 6*x - 24)/12
2321,sin(3*sin(x)),x*(3 - 5*x**2)
2322,exp(0.5*x),0.00260416666666667*x**4 + 0.0208333333333333*x**3 + 0.125*x**2 + 0.5*x + 1
2323,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2324,-2*x**3*log(x + 1),-2*x**4
2325,cos(0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.119856384651051*x**2 + 0.877582561890373
2326,-6*x**3*exp(x),6*x**3*(-x - 1)
2327,2*x,2*x
2328,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
2329,-3*sqrt(x**2 + 1) - 3*exp(x),x**4/4 - x**3/2 - 3*x**2 - 3*x - 6
2330,-exp(x) - cos(x),-x**4/12 - x**3/6 - x - 2
2331,exp(-2*cos(x)),(5*x**4/12 + x**2 + 1)*exp(-2)
2332,cos(0.5*x + 2*exp(x)),2.64331979688169*x**4 + 3.10522999811784*x**3 + 0.391161437384138*x**2 - 2.2732435670642*x - 0.416146836547142
2333,-sin(sqrt(x**2 + 1)),sqrt(2)*x**4*sin(pi/4 + 1)/8 - x**2*cos(1)/2 - sin(1)
2334,-x**2 - 0.5*cos(x),-0.0208333333333333*x**4 - 0.75*x**2 - 0.5
2335,-2*x*cos(x),x*(x**2 - 2)
2336,-2*x**3 + 0.5*exp(x),0.0208333333333333*x**4 - 1.91666666666667*x**3 + 0.25*x**2 + 0.5*x + 0.5
2337,-2*x**3 + 0.5*sqrt(x**2 + 1),-0.0625*x**4 - 2*x**3 + 0.25*x**2 + 0.5
2338,9*log(x + 1)**2*sin(x)**2,9*x**4
2339,-2*x**3 + 3*log(x + 1),x*(-3*x**3 - 4*x**2 - 6*x + 12)/4
2340,log(x**4 + 1.0*x**2*sin(x) + 0.25*sin(x)**2 + 1),x**2*(0.885416666666667*x**2 + 1.0*x + 0.25)
2341,3*sqrt(x**2 + 1) + 3*cos(x),6 - x**4/4
2342,3*x,3*x
2343,6*sin(x)*cos(x),-4*x**3 + 6*x
2344,cos(2*log(x + 1)),-7*x**4/6 + 2*x**3 - 2*x**2 + 1
2345,0.5*x*sin(x),x**2*(0.5 - 0.0833333333333333*x**2)
2346,sin(x**3),x**3
2347,cos(2*cos(x)),-x**4*(6*cos(2) + sin(2))/12 + x**2*sin(2) + cos(2)
2348,-2*x**3 + 0.5*cos(x),0.0208333333333333*x**4 - 2*x**3 - 0.25*x**2 + 0.5
2349,log(4*x**2 + 5),-8*x**4/25 + 4*x**2/5 + log(5)
2350,cos(x**2 + cos(x)),-x**4*(sin(1) + 3*cos(1))/24 - x**2*sin(1)/2 + cos(1)
2351,sin(0.5*log(x + 1)*cos(x)),x*(0.03125*x**3 - 0.104166666666667*x**2 - 0.25*x + 0.5)
2352,0.5*exp(x)*sin(x),x*(0.166666666666667*x**2 + 0.5*x + 0.5)
2353,-3*x**2 + exp(x),x**4/24 + x**3/6 - 5*x**2/2 + x + 1
2354,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2355,1.5*log(x + 1),x*(-0.375*x**3 + 0.5*x**2 - 0.75*x + 1.5)
2356,x**2 - 3*sqrt(x**2 + 1),3*x**4/8 - x**2/2 - 3
2357,log(4*x**2 + 1),x**2*(4 - 8*x**2)
2358,-3*log(x + 1)*cos(x),x*(x**2 + 3*x - 6)/2
2359,2*x**3 + 0.5*sin(x),x*(1.91666666666667*x**2 + 0.5)
2360,-2*sin(x),x*(x**2 - 6)/3
2361,x**2,x**2
2362,cos(0.5*x**3 + 3*x),1.875*x**4 - 4.5*x**2 + 1.0
2363,-1.0*x**3,-1.0*x**3
2364,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
2365,1.5*x**3*log(x + 1),1.5*x**4
2366,log(9*x**4 + 1),9*x**4
2367,-2*x,-2*x
2368,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
2369,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2370,x*exp(-3*x) + exp(-3*x),-9*x**4/8 + 3*x**2/2 - 2*x + 1
2371,3*x**3*sin(x),3*x**4
2372,3*x**2 - 3*cos(x),-x**4/8 + 9*x**2/2 - 3
2373,cos(2*x**2 - 0.5*cos(x)),-2.23136889183926*x**4 + 1.07870746185946*x**2 + 0.877582561890373
2374,-2*sin(x),x*(x**2 - 6)/3
2375,-sin(x)*cos(x),2*x**3/3 - x
2376,2*x*log(x + 1),x**2*(2*x**2/3 - x + 2)
2377,0.5*x**2,0.5*x**2
2378,exp(6*x**3*log(x + 1)),6*x**4 + 1
2379,-2*x**2,-2*x**2
2380,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
2381,cos(0.5*log(x + 1)),-0.111979166666667*x**4 + 0.125*x**3 - 0.125*x**2 + 1
2382,-0.5*x**3*sin(x),-0.5*x**4
2383,exp(4*x**2*exp(x)),10*x**4 + 4*x**3 + 4*x**2 + 1
2384,-6*x*exp(x),x*(-x**3 - 3*x**2 - 6*x - 6)
2385,-sqrt(x**2 + 1) - 3*log(x + 1),7*x**4/8 - x**3 + x**2 - 3*x - 1
2386,sin(0.5*cos(x)),0.00330092195800142*x**4 - 0.219395640472593*x**2 + 0.479425538604203
2387,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
2388,exp(-0.5*cos(x)),(0.0104166666666667*x**4 + 0.25*x**2 + 1)*exp(-1/2)
2389,-3*x**2 + 0.5*x,x*(0.5 - 3*x)
2390,cos(x),x**4/24 - x**2/2 + 1
2391,-2*x**3,-2*x**3
2392,x**2 - log(x + 1),x*(3*x**3 - 4*x**2 + 18*x - 12)/12
2393,3*x,3*x
2394,-2*sin(x),x*(x**2 - 6)/3
2395,-0.5*x*log(x + 1),x**2*(-0.166666666666667*x**2 + 0.25*x - 0.5)
2396,exp(-2*exp(x)),(-x**4/4 + x**3/3 + x**2 - 2*x + 1)*exp(-2)
2397,x**4 + 1.0*x**2*log(x + 1) + 0.25*log(x + 1)**2,x**2*(0.729166666666667*x**2 + 0.75*x + 0.25)
2398,-3*sqrt(x**2 + 1) + 3*log(x + 1),-3*x**4/8 + x**3 - 3*x**2 + 3*x - 3
2399,log(cos(x)**2 + 1),x**4/24 - x**2/2 + log(2)
2400,sin(x),-x**3/6 + x
2401,-3*x**3 - 2*sin(x),-8*x**3/3 - 2*x
2402,-6*x**2*cos(x),3*x**2*(x**2 - 2)
2403,-sin(9*log(x + 1)**2),x**2*(-33*x**2/4 + 9*x - 9)
2404,-sin(0.5*x**3),-0.5*x**3
2405,-sin(1.5*x**3*exp(x)),1.5*x**3*(-x - 1)
2406,cos(3*x**2),1 - 9*x**4/2
2407,2*exp(x)*log(x + 1),x*(2*x**2 + 3*x + 6)/3
2408,2*x**2,2*x**2
2409,-3*exp(x) - log(x + 1),x**4/8 - 5*x**3/6 - x**2 - 4*x - 3
2410,1.5*x**2*exp(x),x**2*(0.75*x**2 + 1.5*x + 1.5)
2411,3*sin(x) - 0.5*cos(x),-0.0208333333333333*x**4 - x**3/2 + 0.25*x**2 + 3*x - 0.5
2412,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
2413,-3*x**2,-3*x**2
2414,3*x**3 - 0.5*log(x + 1),x*(0.125*x**3 + 2.83333333333333*x**2 + 0.25*x - 0.5)
2415,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
2416,-3*x**3,-3*x**3
2417,36*x**2*sin(x)**2,36*x**4
2418,1.5*x*sqrt(x**2 + 1),x*(0.75*x**2 + 1.5)
2419,log(0.25*exp(2*x)*log(x + 1)**2 + 1),x**2*(0.197916666666667*x**2 + 0.25*x + 0.25)
2420,-x**2,-x**2
2421,log(x**4 + 4*x**2*log(x + 1) + 4*log(x + 1)**2 + 1),x**2*(4 - 16*x**2/3)
2422,exp(-0.5*exp(2*x)),(0.375*x**4 + 0.166666666666667*x**3 - 0.5*x**2 - 1.0*x + 1)*exp(-1/2)
2423,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
2424,log(0.25*x**6 + 1.0*x**3*sin(x) + sin(x)**2 + 1),x**2*(0.166666666666667*x**2 + 1.0)
2425,-0.5*x + sin(x),x*(3.0 - x**2)/6
2426,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
2427,-2*x + log(x + 1),x*(-x**3/4 + x**2/3 - x/2 - 1)
2428,6*sqrt(x**2 + 1)*exp(x),x**4 + 4*x**3 + 6*x**2 + 6*x + 6
2429,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
2430,cos(x),x**4/24 - x**2/2 + 1
2431,-3*x**2 - 2*log(x + 1),x*(3*x**3 - 4*x**2 - 12*x - 12)/6
2432,1.5*x**3,1.5*x**3
2433,-2*sqrt(x**2 + 1) + 0.5*log(x + 1),0.125*x**4 + 0.166666666666667*x**3 - 1.25*x**2 + 0.5*x - 2
2434,cos(exp(x)),x**4*(-6*cos(1) + 5*sin(1))/24 - x**3*cos(1)/2 - sqrt(2)*x**2*sin(pi/4 + 1)/2 - x*sin(1) + cos(1)
2435,-x**3*sqrt(x**2 + 1),-x**3
2436,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
2437,0.5*x**2 + exp(x),x**4/24 + x**3/6 + 1.0*x**2 + x + 1
2438,-2*x**3*sqrt(x**2 + 1),-2*x**3
2439,-3*x - 3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 6*x - 3
2440,-0.5*exp(x)*cos(x),0.0833333333333333*x**4 + 0.166666666666667*x**3 - 0.5*x - 0.5
2441,sqrt(x**2 + 1)*sin(x),x**3/3 + x
2442,0.5*x**3,0.5*x**3
2443,-2*x**3,-2*x**3
2444,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
2445,-sin(2*x**3),-2*x**3
2446,0.5*x**3,0.5*x**3
2447,-0.5*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 1.5*x + 2
2448,2*x + 0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 2*x + 0.5
2449,cos(2*sin(x)*cos(x)),10*x**4/3 - 2*x**2 + 1
2450,1.0*x**2*sin(x),1.0*x**3
2451,(x + 1)**(-2.5),9.0234375*x**4 - 6.5625*x**3 + 4.375*x**2 - 2.5*x + 1
2452,-4*sin(x),2*x*(x**2 - 6)/3
2453,3*log(x + 1)**2,x**2*(11*x**2 - 12*x + 12)/4
2454,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
2455,-sin(0.5*x**2*exp(x)),x**2*(-0.25*x**2 - 0.5*x - 0.5)
2456,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
2457,1.0*exp(x)*log(x + 1),x*(-5.55111512312578e-17*x**3 + 0.333333333333333*x**2 + 0.5*x + 1.0)
2458,2*exp(x)*cos(x),-x**4/3 - 2*x**3/3 + 2*x + 2
2459,2*exp(x) + 0.5*cos(x),0.104166666666667*x**4 + x**3/3 + 0.75*x**2 + 2*x + 2.5
2460,x**3,x**3
2461,sin(exp(x)),-x**4*(5*cos(1) + 6*sin(1))/24 - x**3*sin(1)/2 + sqrt(2)*x**2*cos(pi/4 + 1)/2 + x*cos(1) + sin(1)
2462,4*x*sqrt(x**2 + 1),2*x*(x**2 + 2)
2463,-3*x*cos(x),3*x*(x**2 - 2)/2
2464,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
2465,cos(sqrt(x**2 + 1)),-sqrt(2)*x**4*cos(pi/4 + 1)/8 - x**2*sin(1)/2 + cos(1)
2466,sin(x),-x**3/6 + x
2467,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
2468,cos(2*x**2 - cos(x)),-x**4*(sin(1) + 75*cos(1))/24 + 5*x**2*sin(1)/2 + cos(1)
2469,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
2470,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
2471,log(exp(2*x) + 1),-x**4/12 + x**2/2 + x + log(2)
2472,-3*x - 3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 24)/4
2473,-sin(3*sqrt(x**2 + 1)*exp(x)),x**4*(13*cos(3) + 57*sin(3)/8) + x**3*(5*cos(3)/2 + 9*sin(3)) + x**2*(9*sin(3)/2 - 3*cos(3)) - 3*x*cos(3) - sin(3)
2474,x**3 - 3*x,x*(x**2 - 3)
2475,exp(0.5*x*log(x + 1)),0.291666666666667*x**4 - 0.25*x**3 + 0.5*x**2 + 1
2476,sin(1.5*x**3),1.5*x**3
2477,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
2478,exp(-2*sqrt(x**2 + 1)),(3*x**4/4 - x**2 + 1)*exp(-2)
2479,cos(cos(x)),-x**4*(sin(1) + 3*cos(1))/24 + x**2*sin(1)/2 + cos(1)
2480,-2*x - 2*sin(x),x*(x**2 - 12)/3
2481,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
2482,-3*sqrt(x**2 + 1)*exp(x),-x**4/2 - 2*x**3 - 3*x**2 - 3*x - 3
2483,exp(3*sqrt(x**2 + 1)*cos(x)),(1 - x**4)*exp(3)
2484,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
2485,-0.5*exp(x) + 0.5*sin(x),-0.0208333333333333*x**4 - 0.166666666666667*x**3 - 0.25*x**2 - 0.5
2486,6*x**3*sin(x),6*x**4
2487,-0.5*x + 2*cos(x),x**4/12 - x**2 - 0.5*x + 2
2488,-sin(3.5*exp(x)),-8.96108908621879*x**4 - 8.29404427994477*x**3 - 0.509748066840028*x**2 + 3.27759840551779*x + 0.35078322768962
2489,-3*exp(x)*cos(x),x**4/2 + x**3 - 3*x - 3
2490,-sin(x),x**3/6 - x
2491,-2*sin(x),x*(x**2 - 6)/3
2492,cos(exp(x) - 0.5*log(x + 1)),-0.211910245579459*x**4 - 0.185082719183721*x**3 - 0.69864102683944*x**2 - 0.420735492403948*x + 0.54030230586814
2493,-sin(x),x**3/6 - x
2494,cos(x),x**4/24 - x**2/2 + 1
2495,4*log(x + 1)**2*cos(x)**2,x**2*(-x**2 - 12*x + 12)/3
2496,sin(3*x**3 - 0.5*sqrt(x**2 + 1)),0.0698309581995296*x**4 + 2.63274768567112*x**3 - 0.219395640472593*x**2 - 0.479425538604203
2497,3*x*sin(x),x**2*(6 - x**2)/2
2498,0.5*x - 3*exp(x),-0.125*x**4 - 0.5*x**3 - 1.5*x**2 - 2.5*x - 3.0
2499,3*x,3*x
2500,-9*x**3,-9*x**3
2501,3*x**2,3*x**2
2502,0.5*x**2*sin(x),0.5*x**3
2503,0.5*x**2,0.5*x**2
2504,2*x,2*x
2505,exp(3*x),27*x**4/8 + 9*x**3/2 + 9*x**2/2 + 3*x + 1
2506,-0.25*x**2*log(x + 1),x**3*(0.125*x - 0.25)
2507,0.5*cos(x)**2,0.166666666666667*x**4 - 0.5*x**2 + 0.5
2508,6.25*x**4,6.25*x**4
2509,9*x**4,9*x**4
2510,-1.5*sin(x)**2,x**2*(0.5*x**2 - 1.5)
2511,x**6 + 6*x**3*sin(x) + 9*sin(x)**2,3*x**2*(x**2 + 3)
2512,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2513,-3*x - 3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3*x - 3
2514,2*x**3,2*x**3
2515,-x**2*log(x + 1),x**3*(x - 2)/2
2516,-0.5*x,-0.5*x
2517,sin(6*sqrt(x**2 + 1)*log(x + 1)),x*(51*x**3 - 31*x**2 - 3*x + 6)
2518,-sin(2*x**2 + 0.5*cos(x)),0.715837385948303*x**4 - 1.53576948330815*x**2 - 0.479425538604203
2519,-sin(9*x**2*exp(x)),9*x**2*(-x**2 - 2*x - 2)/2
2520,sin(log(x + 1)),x*(x**2 - 3*x + 6)/6
2521,-x**2,-x**2
2522,0.25*x**2*sin(x)**2 + 0.25*sin(x)**2,x**2*(0.166666666666667*x**2 + 0.25)
2523,exp(x**2)/(x**3 + 3*x**2 + 3*x + 1),43*x**4/2 - 13*x**3 + 7*x**2 - 3*x + 1
2524,1.5*sqrt(x**2 + 1)*cos(x),1.5 - 0.5*x**4
2525,cos(x),x**4/24 - x**2/2 + 1
2526,3*sin(x)*cos(x),x*(3 - 2*x**2)
2527,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
2528,0.5*x**2 - 3*exp(x),-x**4/8 - x**3/2 - 1.0*x**2 - 3*x - 3
2529,0.25*x**3,0.25*x**3
2530,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2531,2*sin(x),x*(6 - x**2)/3
2532,(x + 1)**0.5*exp(0.5*x**3),0.2109375*x**4 + 0.5625*x**3 - 0.125*x**2 + 0.5*x + 1
2533,log(9*x**4 + 18*x**2*exp(x) + 9*exp(2*x) + 1),-1101*x**4/2500 - 192*x**3/125 + 99*x**2/50 + 9*x/5 + log(10)
2534,-0.5*x**3 - 2*cos(x),-x**4/12 - 0.5*x**3 + x**2 - 2
2535,0.25*x**6 + 2.0*x**3*cos(x) + 4*cos(x)**2,1.33333333333333*x**4 + 2.0*x**3 - 4.0*x**2 + 4.0
2536,4*x**4,4*x**4
2537,-2*sin(x)**2,2*x**2*(x**2 - 3)/3
2538,9*x**3,9*x**3
2539,x**2 + 0.5*x,x*(x + 0.5)
2540,sin(1.5*sqrt(x**2 + 1)*cos(x)),0.997494986604054 - 0.0353686008338514*x**4
2541,1.5*x**2*sin(x),1.5*x**3
2542,exp(sqrt(x**2 + 1)*cos(x)),E*(3 - x**4)/3
2543,-9*x**2*exp(x),9*x**2*(-x**2 - 2*x - 2)/2
2544,-2*x**2 + sin(x),x*(-x**2 - 12*x + 6)/6
2545,-2*x**3*cos(x),-2*x**3
2546,0.5*x**3,0.5*x**3
2547,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2548,-sin(9*exp(x)*cos(x)),3*x**4*(-801*sin(9) + 4*cos(9))/8 + 249*x**3*cos(9)/2 + 81*x**2*sin(9)/2 - 9*x*cos(9) - sin(9)
2549,log(x + 1)**2,x**2*(11*x**2/12 - x + 1)
2550,cos(3*sin(x)),39*x**4/8 - 9*x**2/2 + 1
2551,cos(x),x**4/24 - x**2/2 + 1
2552,(x + 1)**(-0.5),0.2734375*x**4 - 0.3125*x**3 + 0.375*x**2 - 0.5*x + 1
2553,exp(0.5*cos(x)),(0.0520833333333333*x**4 - 0.25*x**2 + 1)*exp(1/2)
2554,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
2555,cos(2*x + log(x + 1)),9*x**4/4 + 3*x**3/2 - 9*x**2/2 + 1
2556,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
2557,-2*x,-2*x
2558,1.0*x**6 + 1.0*x**4,1.0*x**4
2559,log(9*sin(x)**2 + 1),x**2*(9 - 87*x**2/2)
2560,cos(exp(x)),x**4*(-6*cos(1) + 5*sin(1))/24 - x**3*cos(1)/2 - sqrt(2)*x**2*sin(pi/4 + 1)/2 - x*sin(1) + cos(1)
2561,cos(2*cos(x)),-x**4*(6*cos(2) + sin(2))/12 + x**2*sin(2) + cos(2)
2562,-0.5*sqrt(x**2 + 1) + 0.5*exp(x),x*(0.0833333333333333*x**3 + 0.0833333333333333*x**2 + 0.5)
2563,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
2564,-x**3 - 3*sqrt(x**2 + 1),3*x**4/8 - x**3 - 3*x**2/2 - 3
2565,log(36*x**4*exp(2*x) + 1),36*x**4
2566,-3*sqrt(x**2 + 1)*exp(x),-x**4/2 - 2*x**3 - 3*x**2 - 3*x - 3
2567,-1.5*x**2*log(x + 1),x**3*(0.75*x - 1.5)
2568,0.5*x**3 - 2*x,x*(0.5*x**2 - 2)
2569,exp(x) + 3*sin(x),x**4/24 - x**3/3 + x**2/2 + 4*x + 1
2570,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
2571,-sin(2*x**2*cos(x)),x**2*(x**2 - 2)
2572,0.5*x**3*exp(x),0.5*x**3*(x + 1)
2573,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
2574,0.5*x**2,0.5*x**2
2575,-2*x**2,-2*x**2
2576,-2*exp(x) - 2*log(x + 1),5*x**4/12 - x**3 - 4*x - 2
2577,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
2578,-1.5*cos(x),-0.0625*x**4 + 0.75*x**2 - 1.5
2579,exp(x**2)*exp(-x**3),x**4/2 - x**3 + x**2 + 1
2580,cos(2*exp(x)*sin(x)),-8*x**4/3 - 4*x**3 - 2*x**2 + 1
2581,-0.5*x**2*log(x + 1),x**3*(0.25*x - 0.5)
2582,0.5*x + 0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 1.0*x + 0.5
2583,cos(1.5*log(x + 1)),-0.8203125*x**4 + 1.125*x**3 - 1.125*x**2 + 1
2584,-sin(2*x),4*x**3/3 - 2*x
2585,cos(3*sqrt(x**2 + 1)),3*x**4*(sin(3) - 3*cos(3))/8 - 3*x**2*sin(3)/2 + cos(3)
2586,1.0*sqrt(x**2 + 1)*log(x + 1),x*(-0.5*x**3 + 0.833333333333333*x**2 - 0.5*x + 1.0)
2587,-sin(2*x**2 + 3*sin(x)),x*(9*x**3 + 5*x**2 - 2*x - 3)
2588,cos(0.5*x + 2*sin(x)),2.4609375*x**4 - 3.125*x**2 + 1
2589,cos(2*exp(x)),x**4*(-6*cos(2) + 23*sin(2))/12 + x**3*(-2*cos(2) + sin(2)) - x**2*(2*cos(2) + sin(2)) - 2*x*sin(2) + cos(2)
2590,0.5*x - 2*log(x + 1),x*(0.5*x**3 - 0.666666666666667*x**2 + 1.0*x - 1.5)
2591,-sin(3*x),9*x**3/2 - 3*x
2592,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
2593,-2*x**2 - sin(x),x*(x**2 - 12*x - 6)/6
2594,cos(3*log(x + 1)),-3*x**4/4 + 9*x**3/2 - 9*x**2/2 + 1
2595,sin(0.5*cos(x)),0.00330092195800142*x**4 - 0.219395640472593*x**2 + 0.479425538604203
2596,exp(3*x),27*x**4/8 + 9*x**3/2 + 9*x**2/2 + 3*x + 1
